id,FreezeThaw,Tray,DeviceAddress
537_in,Treatment,F,X4E00000037B35C21
537_out,Treatment,F,D20000003F5F6521
161_in,Treatment,G,B10000005A9FAF21
161_out,Treatment,G,X780000005ABF9B21
501_in,Control,B,X28000000208D6221
501_out,Control,B,X5800000037C42A21
110_in,Treatment,E,X420000005AC51B21
110_out,Treatment,E,X960000005AAEAD21
109_in,Control,H,X2A0000005AB2F721
109_out,Control,H,X780000005AB64A21
130_in,Treatment,A,C80000005A9F8521
130_out,Treatment,A,X340000005ACB5321
153_in,Control,C,B20000005AC13821
153_out,Control,C,X0D0000005AC91921
176_in,Control,D,X8F0000005AB7A421
176_out,Control,D,A60000005AAC2E21
